Datetime,Open,High,Low,Close,Volume
2019-09-17,10290,10308,10163,10214.86,30156486.97
2019-09-16,10321.42,10404,10091,10290,56380470.07
2019-09-15,10380,10403,10275,10321.42,19486372.51
2019-09-14,10374,10488,10255,10380,32801466.46
2019-09-13,10452,10475,10155,10374,46417698.48
2019-09-12,10175,10488,10064,10452,45313964.9
2019-09-11,10121,10300,9814,10175,43782091.22
2019-09-10,10317,10399,9959,10121,42722054.03
2019-09-09,10415,10557,10118,10317,53586138.35
2019-09-08,10489,10599,10241.91,10415,36530778.68
2019-09-07,10305,10582,10305,10489,35295931.83
2019-09-06,10582.93,10933,10208,10305,119675518.9
2019-09-05,10590,10663,10481.64,10582.93,31835471.34
2019-09-04,10641,10849,10410,10590,65969969.9
2019-09-03,10388,10766,10291,10641,113482416.2
2019-09-02,9779.1,10474,9754.57,10388,112026827.2
2019-09-01,9623.9,9868,9555,9779.1,27860593.51
2019-08-31,9601,9715,9471.9,9623.9,26412208.68
2019-08-30,9509.4,9725,9380.4,9601,35930363.43
2019-08-29,9727.4,9729.7,9358.2,9509.4,67458584.74
2019-08-28,10184,10370,9570,9727.4,103053772.5
2019-08-27,10377,10395,10021,10184,45885834.81
2019-08-26,10132,10675,10132,10377,93364331.4
2019-08-25,10154,10350,9805.8,10132,52473792.44
2019-08-24,10407.47,10427,9893.8,10154,54613228.53
2019-08-23,10117,10466,10047,10407.47,65871016.94
2019-08-22,10146.95,10255,9787,10117,65570509.27
2019-08-21,10792.14,10825,9824,10146.95,119810637.9
2019-08-20,10938,10993,10584,10792.14,62698017.44
2019-08-19,10332.19,10964,10280,10938,78812006.23
2019-08-18,10228,10533,10086,10332.19,40412561.56
2019-08-17,10369,10494.7,10004,10228,50071932.98
2019-08-16,10324.27,10568,9777,10369,131212394.7
2019-08-15,10064.56,10471,9522,10324.27,173592397.5
2019-08-14,10904.01,10909,9966,10064.56,151138124.2
2019-08-13,11404,11468,10800,10904.01,99766249.08
2019-08-12,11565.36,11585,11260,11404,36535469.72
2019-08-11,11311.4,11615,11129,11565.36,62613477.97
2019-08-10,11891,12011,11208,11311.4,103844660.1
2019-08-09,12050,12097,11703,11891,92618299.64
2019-08-08,11999,12130,11550,12050,130505813
2019-08-07,11472,12153,11385,11999,161208999.3
2019-08-06,11824,12325,11249,11472,228029593.9
2019-08-05,10973,11939,10973,11824,187498288.4
2019-08-04,10822,11060,10514,10973,100471241
2019-08-03,10520,10917,10506,10822,79989850.31
2019-08-02,10400,10659,10331,10520,88535450.81
2019-08-01,10088,10500,9875,10400,78461388.47
2019-07-31,9589,10120,9575.49,10088,78698614.89
2019-07-30,9507,9747.77,9380,9589,49660617.92
2019-07-29,9519,9738.3,9376.7,9507,54373366.7
2019-07-28,9469,9628,9101.4,9519,72831762.35
2019-07-27,9840.3,10199,9296,9469,113316068.7
2019-07-26,9890.2,9899,9650.2,9840.3,50005736
2019-07-25,9768.97,10188,9733.3,9890.2,92225361.66
2019-07-24,9859,9922.55,9534.05,9768.97,111391750.9
2019-07-23,10328,10330.88,9820,9859,97861761.48
2019-07-22,10569.43,10690,10052,10328,113040839
2019-07-21,10740,10812,10298,10569.43,86752835.04
2019-07-20,10518,11098,10370,10740,130052374.2
2019-07-19,10622,10760,10118,10518,137223069.6
2019-07-18,9682.6,10752,9260.6,10622,289145615.3
2019-07-17,9421,9975,9084.7,9682.6,220864914.2
2019-07-16,10820.88,11011,9352,9421,261093926.2
2019-07-15,10204,11058,9880,10820.88,219582406.3
2019-07-14,11312,11400,10122,10204,239150120.3
2019-07-13,11765,11803,10805,11312,165489860.6
2019-07-12,11340,11900,11099,11765,141591539.4
2019-07-11,12093,12093.2,10970,11340,245621458.6
2019-07-10,12558,13174,11529,12093,449543216.3
2019-07-09,12301,12814.65,12102,12558,239135894.4
2019-07-08,11485,12383,11310,12301,212539958.4
2019-07-07,11281,11620,11110,11485,95523239.34
2019-07-06,11003,11720,10961,11281,139247561.6
2019-07-05,11166,11452,10776,11003,182183753.9
2019-07-04,11982,12065,11055,11166,231381539.9
2019-07-03,10885,12025,10876,11982,319028449.6
2019-07-02,10640,10965,9728.2,10885,296703726.2
2019-07-01,10805,11231,10088,10640,264785513.7
